Factor ID,Factor Name,Original Research Source,Research Evidence Level,Domain,Definition,Potential Decision Layer,Required Data,Data Availability,Current Repository Representation,Current Status,Notes
F001,Live Usable Lake Storage,MCGM Hydraulic Engineer Daily Lake Bulletins,A,A. HYDROLOGY / F. STORAGE,Net usable live storage across 7 supply lakes above sill level,SUPPLY_FORECAST,Daily reservoir gauge levels (MLD),AVAILABLE_OFFICIAL,"water_engine/supply_model.py, SUP_RES_LEVEL",IMPLEMENTED,Core ceiling on bulk available supply
F002,Dead Storage Reservoir Volume,MCGM Lake Bathymetric Survey,A,A. HYDROLOGY,Volume of water below lowest sluice invert unextractable by gravity,SUPPLY_FORECAST,Dam sill elevation curves,AVAILABLE_OFFICIAL,docs/factor_catalogue.md,DOCUMENTED_ONLY,Requires emergency pontoon pumps in extreme crises
F003,Catchment 24h Cumulative Rainfall,IMD Hydrology Section / BMC Disaster Cell,A,B. RAINFALL,24h accumulated rainfall across lake catchment gauge network,SUPPLY_FORECAST,Daily rain gauge mm,AVAILABLE_OFFICIAL,"water_engine/supply_model.py, SUP_RAIN_CATCH",IMPLEMENTED,Drives daily lake replenishment calculation
F004,River Catchment Inflow Runoff Rate,Maharashtra Irrigation Dept River Gauging,B,A. HYDROLOGY,Rate of streamflow entering dam impoundments from watershed,SUPPLY_FORECAST,River weir flow telemetry,AVAILABLE_OFFICIAL,data/factor_catalogue.yaml,PARTIALLY_IMPLEMENTED,Modeled via catchment rainfall proxy; direct weir SCADA telemetry pending
F005,Reservoir Evaporative Pan Loss,Central Water Commission (CWC) Lake Evaporation Models,B,A. HYDROLOGY,Daily evaporative water loss from open lake surface area,SUPPLY_FORECAST,Pan evaporimeter telemetry,UNAVAILABLE_LOCAL,docs/research_evidence.md,UNAVAILABLE_DATA,No real-time automated telemetry on lake surface evaporation
F006,Dam Spillway Discharge Overflow,BMC Dam Gate Automation Protocols,A,A. HYDROLOGY,Uncontrolled or gated discharge when lake reaches 100% full capacity,SCENARIO_CONTEXT,Gate opening position (meters),AVAILABLE_OFFICIAL,docs/factor_catalogue.md,CONTEXT_ONLY,Indicates zero supply deficit risk during monsoon overflow
F007,Upstream Catchment Soil Saturation Antecedent Moisture,Soil & Land Use Survey of India (SLUSI),B,A. HYDROLOGY,Soil moisture index governing rainfall-to-runoff conversion ratio,SUPPLY_FORECAST,Satellite microwave soil moisture sensors,UNAVAILABLE_LOCAL,docs/research_evidence.md,UNAVAILABLE_DATA,High satellite latency; unviable for daily municipal operations
F008,Inter-Basin River Water Diversion Quota,Godavari-Krishna Inter-State Water Disputes Tribunal,A,AD. COMPETITION / AE. REGULATORY,Statutory limit on water diverted from Bhatsa river to Mumbai vs Thane rural,RESOURCE_OPTIMIZATION,Tribunal allocation decree,AVAILABLE_OFFICIAL,docs/research_evidence.md,DOCUMENTED_ONLY,Fixed inter-governmental legal boundary condition
F009,Reservoir Siltation Capacity Depletion,CWC Hydrographic Siltation Studies,B,A. HYDROLOGY,Annual reduction in lake storage due to sediment accumulation,SUPPLY_FORECAST,Decadal sonar bathymetry,UNAVAILABLE_LOCAL,docs/final_limitations.md,UNAVAILABLE_DATA,Decadal decadal timescale; negligible on daily operational dispatch
F010,Total Lake Gross Content,MCGM Lake Specifications,A,F. STORAGE,Gross volume including dead storage,SUPPLY_FORECAST,Lake reservoir tables,AVAILABLE_OFFICIAL,Merged into F001,DUPLICATE_OR_MERGED,Merged with F001 (Live Usable Storage) which is the true actionable supply
