factor_id,factor_name,definition,decision_layer,unit,granularity,temporal_resolution,data_type,data_source,source_url,source_date,provenance_class,evidence_level,data_availability,missing_data_strategy,normalization_method,expected_direction,known_limitations,correlation_group,double_counting_risk,privacy_risk,fairness_risk,operational_relevance,model_usage,test_required
SUP_RES_LEVEL,Reservoir Storage Live Content,"Aggregated live usable storage across the 7 major BMC supply lakes (Bhatsa, Upper Vaitarna, Middle Vaitarna, Tansa, Modak Sagar, Tulsi, Vihar).",SUPPLY_FORECAST,Million Liters (MLD),City / Catchment,Daily (06:00 IST),float,MCGM Water Supply Department Lake Level Reports,https://portal.mcgm.gov.in,2024-06-01,REAL,A,AVAILABLE_OFFICIAL,carry_forward,min_max_lake_capacity,positive,"Storage levels reflect bulk availability, not instantaneous conveyance throughput.",bulk_supply,High if added directly with rainfall without hydrological routing.,NONE,NONE,Determines overall municipal allocation ceiling and seasonal rationing thresholds.,"SUPPLY_FORECAST, SCENARIO_ENGINE",test_supply_model_clamping
SUP_RAIN_CATCH,Catchment Daily Rainfall,Cumulative 24-hour precipitation measured at lake catchment rain gauge stations.,SUPPLY_FORECAST,mm,Catchment Station,Daily,float,India Meteorological Department (IMD) / BMC Disaster Cell,https://mausam.imd.gov.in,2024-07-15,REAL,A,AVAILABLE_OFFICIAL,impute_spatial_mean,standard_scaling,positive,Runoff lag varies from 6 to 36 hours based on soil saturation.,meteorology_supply,Moderate with lake storage inflows.,NONE,NONE,Anticipates lake replenishment and overflow risks.,"SUPPLY_FORECAST, SCENARIO_ENGINE",test_catchment_runoff_correlation
SUP_TREAT_CAP,WTP Filtration & Disinfection Capacity,Operational throughput limit of Bhandup Complex and Panjrapur Water Treatment Plants.,SUPPLY_FORECAST,MLD,Plant,Hourly,float,MCGM Bhandup Complex Hydraulic Engineering Records,https://portal.mcgm.gov.in/irj/portal/anonymous/qlwatersupply,2023-11-20,REAL,A,AVAILABLE_OFFICIAL,fallback_nominal_capacity,ratio_to_design_rating,positive,Raw water turbidity above 100 NTU forces 15-30% backwash derating.,treatment_capacity,Low (acts as a physical bottleneck cap).,NONE,NONE,Strict upper bound on potable water production regardless of lake abundance.,"SUPPLY_FORECAST, RESOURCE_OPTIMIZATION",test_wtp_capacity_clamping
SUP_OUTAGE_MW,Power Grid Outage at Pumping Stations,"Duration and power deficit at master balancing reservoirs and pumping stations (e.g., Ghatkopar, Powai).",SUPPLY_FORECAST,Hours / MW Deficit,Station,Real-time / Event,float,Maharashtra State Electricity Transmission Co. (MSETCL) / Adani Electricity Log,https://www.mahatransco.in,2024-04-10,ENGINEERING_ASSUMPTION,D,UNAVAILABLE_SIMULATED,default_zero,linear_step,negative,Diesel backup generators provide ~40% pumping capacity for up to 6 hours.,infrastructure_failure,High if combined with pressure drop without causal modeling.,NONE,NONE,Triggers rapid regional pressure drop and dry tap conditions.,"SCENARIO_ENGINE, SUPPLY_FORECAST",test_power_outage_conveyance_drop
SUP_NRW_LOSS,Non-Revenue Water Distribution Losses,"Estimated transmission and distribution leakage, illegal tappings, and meter inaccuracies.",SUPPLY_FORECAST,Percentage (%),Ward,Quarterly / Estimated,float,MCGM Water Distribution Improvement Project / Castalia NRW Study,https://smartcities.gov.in/studies/mumbai_water_audit,2022-08-15,REAL_DERIVED,B,AVAILABLE_OFFICIAL,ward_median,min_max_clip_50,negative,Difficult to disaggregate physical pipe bursts from unmetered standpost consumption.,infrastructure_age,Moderate with pipe age and burst history.,NONE,LOW,Subtracts from raw piped water to calculate net delivered volume.,"SUPPLY_FORECAST, RESOURCE_OPTIMIZATION",test_nrw_deduction_invariant
SUP_EMERG_RES,Designated Emergency Strategic Reserve,"Mandatory unallocated water cushion reserved for firefighting, hospital disasters, and mass contamination.",RESOURCE_OPTIMIZATION,Liters,Depot / City,Static / Policy,float,BMC Disaster Management Emergency Action Plan / Policy 3.0,https://dm.mcgm.gov.in,2024-01-01,ENGINEERING_ASSUMPTION,D,CONFIGURED_POLICY,hardcoded_min_10pct,fraction_of_total_stock,negative,Fixed buffer reduces available water during routine rationing.,policy_constraints,None (hard mathematical lower bound).,NONE,NONE,Guarantees critical facilities cannot be starved by aggregate demand.,"RESOURCE_OPTIMIZATION, HARD_CONSTRAINT",test_emergency_reserve_retention
SUP_TANK_FLEET,Operational Tanker Fleet Active Count,Number of roadworthy municipal and contracted water tankers currently available for dispatch.,ROUTING,Vehicles,Depot,Shift (8-hour),integer,BMC Transport & Solid Waste Management Logistics Registry,https://portal.mcgm.gov.in/irj/portal/anonymous/qltransport,2024-05-12,REAL,A,AVAILABLE_OFFICIAL,default_fleet_size,count,positive,Driver absenteeism and maintenance downtime cause shift-to-shift variance.,logistics_capacity,None.,NONE,NONE,Limits total physical volumetric dispatch per hour.,"ROUTING, RESOURCE_OPTIMIZATION",test_tanker_fleet_capacity_constraint
DEM_POP_TOTAL,Ward Total Census Population,Official resident population enumerated in the 2011 Census of India across 24 administrative wards.,DEMAND_FORECAST,Persons,Ward,Decadal / Projected,integer,Census of India 2011 / MCGM Ward Profiles,https://censusindia.gov.in,2011-03-31,REAL,A,AVAILABLE_OFFICIAL,error_and_halt,standard_scaling,positive,Does not capture post-2011 suburban growth or daily floating worker population (est. 2-3M).,demographics,High if combined directly with household count and density.,NONE,HIGH,Foundational denominator for per-capita allocation and aggregate baseline demand.,"DEMAND_FORECAST, EQUITY_AUDIT",test_population_data_integrity
DEM_SLUM_RATIO,Informal Settlement Population Proportion,Percentage of ward residents residing in notified and non-notified slum settlements without individual metered tap connections.,NEED_PRIORITY,Ratio [0.0 - 1.0],Ward,Annual / Master Plan 2034,float,MCGM Slum Sanitation Program & Development Plan 2034,https://portal.mcgm.gov.in/irj/portal/anonymous/qldp2034,2018-09-01,REAL,A,AVAILABLE_OFFICIAL,ward_mean,min_max_0_1,positive,Excludes newly formed non-notified settlements post-survey cutoff.,vulnerability_structural,Moderate with tap connectivity deficit.,NONE,HIGH,Identifies communities lacking household underground/overhead storage.,"NEED_PRIORITY, EQUITY_AUDIT",test_slum_ratio_monotonicity
DEM_LIFELINE_NORM,Basic Human Lifeline Standard,Government service benchmark for basic domestic water consumption: 135 Liters Per Capita per Day (LPCD).,DEMAND_FORECAST,LPCD,City Standard,Static Official Policy,float,Ministry of Housing and Urban Affairs (MoHUA) Service Level Benchmarks,https://mohua.gov.in/upload/uploadfiles/files/Handbook.pdf,2010-05-15,REAL,A,AVAILABLE_OFFICIAL,standard_135_lpcd,static_constant,positive,Informal settlements typically receive 45-90 LPCD in practice due to network pressure gradients.,standards,None.,NONE,NONE,Establishes the normative ceiling for minimum human right to water under Article 21.,"DEMAND_FORECAST, EQUITY_AUDIT",test_lifeline_standard_benchmark
